timestamp,roll,pitch,yaw
1525807157524126,-0.296625,-0.0946259,0.77059
1525807157556139,-0.287815,-0.112621,0.76705
1525807157571140,-0.278001,-0.129435,0.762718
1525807157592126,-0.267999,-0.150601,0.75886
1525807157606167,-0.262799,-0.175488,0.753278
1525807157630135,-0.261013,-0.202972,0.748254
1525807157645141,-0.256628,-0.232664,0.74433
1525807157668191,-0.249769,-0.263658,0.740341
1525807157722158,-0.243209,-0.295108,0.736098
1525807157724156,-0.234501,-0.32509,0.730569
1525807157728139,-0.223422,-0.353711,0.722191
1525807157750138,-0.212429,-0.383299,0.712396
1525807157765155,-0.199008,-0.414069,0.699
1525807157788157,-0.179821,-0.441904,0.680878
1525807157803156,-0.153436,-0.464497,0.659353
1525807157846191,-0.117914,-0.483325,0.635767
1525807157856156,-0.0785159,-0.495787,0.612188
1525807157863157,-0.0375542,-0.507952,0.588721
1525807157885135,0.00247903,-0.517221,0.568684
1525807157907159,0.0412023,-0.522277,0.550905
1525807157930148,0.0743905,-0.524719,0.53464
1525807157945146,0.0980038,-0.526258,0.518979
1525807157968142,0.111929,-0.527474,0.505058
1525807157991129,0.120939,-0.526868,0.495516
1525807158005136,0.130114,-0.524112,0.489384
1525807158036129,0.138361,-0.520724,0.484672
1525807158051157,0.142328,-0.517766,0.480951
1525807158065141,0.14385,-0.514433,0.477328
1525807158089159,0.144891,-0.511034,0.474103
1525807158111140,0.14601,-0.507002,0.470976
1525807158125124,0.146921,-0.503558,0.467665
1525807158149125,0.14978,-0.50033,0.46416
1525807158178219,0.153703,-0.497955,0.461293
1525807158185192,0.156006,-0.498156,0.457497
1525807158208214,0.154449,-0.49755,0.452031
1525807158231214,0.157258,-0.494808,0.445805
1525807158252204,0.168314,-0.491761,0.442376
1525807158268205,0.176855,-0.486687,0.438109
1525807158291223,0.18135,-0.483625,0.433521
1525807158312221,0.181329,-0.482135,0.429327
1525807158328202,0.183777,-0.479338,0.425504
1525807158351224,0.19226,-0.474387,0.423658
1525807158373189,0.201992,-0.468723,0.422696
1525807158388240,0.205518,-0.463978,0.421406
1525807158411196,0.20896,-0.460789,0.417867
1525807158432223,0.209997,-0.45886,0.414631
1525807158455195,0.20722,-0.456134,0.41436
1525807158471201,0.202968,-0.460867,0.420948
1525807158493201,0.202146,-0.466137,0.424868
1525807158508195,0.206235,-0.47219,0.429398
1525807158537207,0.195864,-0.480312,0.432586
1525807158552256,0.179841,-0.487219,0.431421
1525807158569195,0.179951,-0.491096,0.433193
1525807158591222,0.191115,-0.491395,0.437653
1525807158612258,0.200218,-0.491699,0.440215
1525807158628218,0.20367,-0.492288,0.441755
1525807158651224,0.201916,-0.492914,0.441988
1525807158672258,0.199296,-0.491864,0.441866
1525807158688189,0.202712,-0.490611,0.443335
1525807158711203,0.209495,-0.489392,0.442781
1525807158732195,0.20568,-0.487466,0.441623
1525807158748190,0.19554,-0.49077,0.448376
1525807158771195,0.190608,-0.496691,0.456446
1525807158792197,0.189965,-0.498804,0.459518
1525807158808224,0.19303,-0.503471,0.460232
1525807158837312,0.189541,-0.507373,0.460382
1525807158853251,0.185819,-0.508757,0.462143
1525807158876285,0.186466,-0.508519,0.462905
1525807158890245,0.188291,-0.507684,0.463672
1525807158913277,0.194253,-0.506264,0.462948
1525807158936245,0.202884,-0.505051,0.459133
1525807158950276,0.199928,-0.498812,0.457209
1525807158973254,0.189433,-0.502149,0.466084
1525807158996248,0.188194,-0.506064,0.472638
1525807159017277,0.191153,-0.508725,0.477108
1525807159033307,0.176942,-0.512442,0.476083
1525807159056310,0.161368,-0.517428,0.472572
1525807159077306,0.164394,-0.519323,0.476633
1525807159093306,0.170821,-0.518097,0.480467
1525807159116346,0.177278,-0.516854,0.479817
1525807159137338,0.180347,-0.515216,0.478991
1525807159153306,0.181145,-0.512428,0.477171
1525807159176322,0.187185,-0.508948,0.473711
1525807159204338,0.18963,-0.504989,0.469869
1525807159213442,0.185031,-0.499054,0.468637
1525807159236416,0.17329,-0.503087,0.477079
1525807159257493,0.171281,-0.505441,0.479979
1525807159273438,0.170796,-0.50657,0.479791
1525807159280427,0.164583,-0.508863,0.474706
1525807159301441,0.163571,-0.510518,0.473617
1525807159324426,0.164861,-0.509918,0.475264
1525807159340438,0.168679,-0.508275,0.47399
1525807159369469,0.178238,-0.505893,0.470719
1525807159384438,0.182301,-0.503157,0.46707
1525807159400449,0.186205,-0.499428,0.463926
1525807159421459,0.197525,-0.495695,0.458549
1525807159444468,0.198738,-0.489737,0.452368
1525807159460438,0.184908,-0.489621,0.455941
1525807159481442,0.174029,-0.494764,0.463247
1525807159504438,0.178196,-0.496334,0.464047
1525807159520436,0.180945,-0.497728,0.461676
1525807159541443,0.174099,-0.500301,0.458521
1525807159564439,0.169933,-0.502115,0.460614
1525807159580438,0.171459,-0.501024,0.461874
1525807159601460,0.180184,-0.499383,0.461137
1525807159624470,0.185771,-0.497926,0.458194
1525807159640461,0.183986,-0.494731,0.456353
1525807159661459,0.189885,-0.4913,0.455365
1525807159684427,0.200831,-0.489169,0.45113
1525807159699468,0.199358,-0.482511,0.448778
1525807159721535,0.185418,-0.485934,0.457136
1525807159743530,0.182326,-0.490319,0.462495
1525807159762500,0.189528,-0.493222,0.464266
1525807159781513,0.177741,-0.496105,0.460641
1525807159804499,0.160569,-0.498953,0.456795
1525807159821496,0.160123,-0.500041,0.459873
