timestamp,x,y,z
1525807143303790,1.625,0,-0.8125
1525807143326785,1.3125,0,-1.125
1525807143341824,1.3125,-0.1875,-1.125
1525807143365795,1.3125,0.0625,-0.5625
1525807143386813,0.875,0.5,-0.375
1525807143401864,0.125,0.4375,-0.125
1525807143425885,-1.4375,0.625,-0.25
1525807143456867,-0.875,1.1875,-1.375
1525807143461867,1.375,1.5625,-1.625
1525807143477862,2,2,-1.625
1525807143495858,0.6875,2.4375,-1.8125
1525807143515866,-0.375,2.8125,-2.125
1525807143540918,0.0625,2.4375,-1.9375
1525807143591884,0.5,2.125,-1.5
1525807143592884,0.875,1.5625,-1.4375
1525807143599856,1.5625,1,-1.3125
1525807143612852,0.9375,0.875,-0.9375
1525807143635916,0.0625,1.25,-0.8125
1525807143666014,0.25,1.25,-0.5
1525807143687004,-0.25,0.5625,-0.375
1525807143704006,-5.1875,-1.625,0.0625
1525807143725972,-9.5625,-2.5,-1.9375
1525807143749005,-6.5,-1.5,-2.8125
1525807143770972,3.3125,-1.1875,-2.1875
1525807143785972,5.1875,2,0.375
1525807143807006,-1.1875,1.625,1.3125
1525807143824064,-0.8125,-0.25,-0.375
1525807143846109,-1.0625,-2.0625,-0.625
1525807143867173,-2.9375,-2.375,-0.5625
1525807143884132,-0.1875,-1.75,0.25
1525807143906108,0.6875,-0.75,0.9375
1525807143927125,4.0625,0.625,1.125
1525807143944144,2.9375,1.75,2.0625
1525807143966130,0.6875,1.375,2.75
1525807143987208,-0.1875,0.6875,3.3125
1525807144003304,-2.25,3.25,6.1875
1525807144026271,-1.75,9.9375,7.1875
1525807144047249,3.6875,7.75,1.25
1525807144071300,5.4375,3.3125,-2.8125
1525807144076323,1.5,-0.1875,-0.0625
1525807144091290,-8.9375,-2.75,0.0625
1525807144114399,-3.25,-1.0625,-0.125
1525807144136363,5.875,1.125,0.5
1525807144151486,1.5,0.5,0.375
1525807144174421,-6.3125,-0.8125,-1.625
1525807144196489,-1.9375,-3.125,-1.75
1525807144211452,-1.5,-3.4375,0.1875
1525807144234422,0,-3.75,0.1875
1525807144256453,4.25,-2.3125,1.4375
1525807144271526,2.6875,-2,1.75
1525807144293601,-0.625,-2.3125,1.375
1525807144316630,-0.5625,-2.625,1.4375
1525807144331574,1.1875,0.6875,3
1525807144354568,3.625,0.25,2.5
1525807144385595,2.375,2.25,2.625
1525807144391678,-0.625,8.875,3.875
1525807144414638,-2.8125,3.6875,-1.8125
1525807144436669,2.625,0.875,-1.6875
1525807144451668,-3.6875,-1.4375,1.9375
1525807144473702,-8.3125,-3.0625,-1.0625
1525807144496702,-4.3125,-0.0625,-0.6875
1525807144511657,-3.375,-0.625,-1.25
1525807144533642,4.8125,-1.3125,-2.5625
1525807144556669,5.1875,-0.5,-0.5
1525807144572702,-0.6875,0.5,-1
1525807144593668,-2,-1.75,-0.0625
1525807144616703,-2.25,-2.125,1.375
1525807144632650,1.1875,-2,0.875
1525807144653650,2,-2.875,0.875
1525807144676670,3.5,-1.25,3
1525807144694733,4.375,-0.4375,3.625
1525807144713775,2.5625,4,5.5
1525807144736724,-0.5,4.6875,3.4375
1525807144754750,-3,0.0625,-1.75
1525807144776724,-6.1875,-2.125,0.1875
1525807144796827,-11,-2.9375,0.4375
1525807144814761,-7.1875,-0.375,-0.625
1525807144833764,7.9375,-0.25,-2.625
1525807144856774,13.5625,1.1875,-0.375
1525807144874777,4.4375,1.625,0.4375
1525807144893829,-3.5,0.1875,-0.3125
1525807144916779,-5.5,-0.5,1.0625
1525807144934761,-2.125,-0.875,1.8125
1525807144953762,-0.1875,0.9375,3.0625
1525807144983793,-0.125,2.3125,3.125
1525807144994789,0.375,5.625,2.8125
1525807145013776,-1.1875,12.625,3.875
1525807145036830,-10.625,12.0625,-0.1875
1525807145054794,-18,9.875,-6.3125
1525807145073762,-21.8125,7.4375,-3.5625
1525807145096793,-22,6.375,-4.4375
1525807145114762,-5.125,4.5,-5.75
1525807145135793,13.3125,2.3125,-2.125
1525807145156850,14.0625,1.0625,2.5625
1525807145174830,7.5,-1.4375,4.3125
1525807145193846,1.75,-2.875,7.125
1525807145217852,-1.0625,-3.6875,9.1875
1525807145234826,-2.3125,-6.5,8.6875
1525807145255814,1.25,-6.5,10.1875
1525807145276938,6.125,-4.1875,11.125
1525807145294910,5.5625,1.5,9.5
1525807145315903,6.0625,0.6875,6.6875
1525807145336888,-0.4375,-1.75,0.875
1525807145354932,-4.5625,-4.1875,3.0625
1525807145375937,-10.4375,-7.8125,1.0625
1525807145396904,-8.1875,-3.5,1.25
1525807145414900,9.1875,-2.0625,1.5625
1525807145435903,15,-0.6875,3.5625
1525807145456888,4.4375,-1.3125,5.25
1525807145474911,-4.75,-1.9375,4.5625
1525807145495903,-5.0625,-0.4375,5.875
1525807145516941,0.875,-1.6875,5.1875
1525807145534901,5.625,0.1875,6.375
1525807145555959,7.0625,0.3125,6.9375
1525807145583961,8,1.3125,7.25
1525807145594965,7.4375,1.9375,8
1525807145616947,1.1875,1.5625,4.4375
1525807145636945,-5.5,3.75,2.8125
1525807145654964,-9.5625,0.75,0.625
1525807145676946,-2.625,-0.1875,-1.3125
1525807145699971,3.5625,-0.3125,1.1875
1525807145714094,4.875,1.6875,3.0625
1525807145737028,2.1875,2.4375,3.75
1525807145757034,-0.125,0.625,4.1875
1525807145774060,-1.9375,1.8125,3.8125
1525807145797028,-1.8125,1.3125,2.625
1525807145816040,0.5,5.125,2.9375
1525807145834061,1.125,0.375,0.625
1525807145864057,-2.8125,-2.3125,0
1525807145901094,-9.0625,-2.875,0.1875
1525807145903060,-6.0625,-2.6875,-2.125
1525807145916029,3,-2.6875,-2.25
1525807145937031,4.5,-1,-1.8125
1525807145954066,3.625,0.375,-1.5
1525807145976032,-2.25,-0.875,-2.0625
1525807145997059,-3.1875,-1.8125,-1.875
1525807146014030,1.5625,-2.875,-0.3125
1525807146036033,8,-0.5,1.8125
1525807146057077,1.375,0.375,2.25
1525807146074061,-7.125,-2.8125,-3.25
1525807146096029,-6,-1.6875,0.375
1525807146117094,-5.5,-4.9375,0.4375
1525807146134094,2.1875,-3.5,-1.25
1525807146156039,12.625,-1.125,-1.125
1525807146179077,11.0625,0.875,-0.25
1525807146194061,2.25,0.9375,0.625
1525807146216033,0.25,2.4375,-0.25
1525807146237066,4.75,3.625,-0.75
1525807146254028,3.9375,5.8125,-2.125
1525807146276036,4.0625,6.6875,-1.5625
1525807146297061,-4.4375,3.25,-5
1525807146314039,-10.0625,3.375,-5.75
1525807146336036,-7.875,2.5625,-5.625
1525807146357155,1.4375,1.625,-6.8125
1525807146373274,8.625,1.375,-4.375
1525807146396224,5.0625,2.1875,-2.125
1525807146417222,-6,2.625,-1.4375
1525807146440205,-8.5625,-0.3125,-1.25
1525807146456206,-6.75,-1.25,-0.125
1525807146477272,-1.6875,0.1875,0.625
1525807146493220,6.625,0.3125,1.1875
1525807146516205,6.625,1.9375,1.75
1525807146537274,-0.9375,3.25,0.1875
1525807146553241,-10.125,-1.5,-2
1525807146576238,-13.9375,-2.5625,-2
1525807146606207,-4,-4.625,-2.5
1525807146613221,6.75,-4.1875,-2
1525807146636211,9.5625,-2.5625,-1.75
1525807146659234,9,-1.375,-1
1525807146673221,-1.1875,-1.875,-0.1875
1525807146696208,-4.0625,-1.25,-1.125
1525807146719206,1.6875,0.1875,-0.8125
1525807146733206,6.5,3.125,-0.3125
1525807146756217,9.8125,5.0625,0.4375
1525807146779216,6.9375,9.5625,0.25
1525807146799239,1.125,5.0625,-2.9375
1525807146816217,-5.8125,1.375,-2.875
1525807146839232,-10.1875,-0.4375,-1.1875
1525807146853239,-11.5625,1.8125,-2.625
1525807146882238,-0.25,1.875,-4.5625
1525807146899230,12.4375,0.375,-1.5
1525807146913238,4.9375,0.25,0.5
1525807146936210,-5.5625,-1.125,-0.375
1525807146958282,-3.125,-1.3125,-0.5
1525807146973360,0.8125,-1.125,0.5
1525807146996375,3,-0.875,-0.1875
1525807147018327,3,-1.125,1.1875
1525807147033361,6,-0.0625,2
1525807147056431,7.625,5.375,2.6875
1525807147078404,4.1875,8,1
1525807147099466,-4.3125,2,-3.125
1525807147116433,-12.1875,-3.375,-3.1875
1525807147138399,-15.125,-3.4375,-1.4375
1525807147159467,-4.6875,1.0625,-2.25
1525807147176432,9.0625,0.0625,-2.625
1525807147198423,12.8125,-1,-1.125
1525807147219473,4.0625,0.0625,-0.3125
1525807147236506,-5.625,0.3125,-0.375
1525807147258476,-11.375,-0.1875,-1.6875
1525807147279504,-2.25,-0.75,-0.4375
1525807147296482,1.6875,-0.9375,1
