timestamp,x,y,z
1525807157524126,0.22168,-0.307617,0.979004
1525807157556139,0.172363,-0.320313,0.967285
1525807157571140,0.137695,-0.307129,0.980469
1525807157592126,0.18457,-0.246094,0.986328
1525807157606167,0.187988,-0.242676,0.998047
1525807157630135,0.202637,-0.276367,0.992188
1525807157645141,0.255371,-0.272949,0.961914
1525807157668191,0.312012,-0.263184,0.936035
1525807157722158,0.371582,-0.241211,0.921387
1525807157724156,0.419922,-0.216797,0.887695
1525807157728139,0.40332,-0.192871,0.881348
1525807157750138,0.439941,-0.183105,0.841309
1525807157765155,0.549316,-0.165527,0.790039
1525807157788157,0.568359,-0.174805,0.859863
1525807157803156,0.455078,-0.161621,0.809082
1525807157846191,0.32959,-0.126953,0.736816
1525807157856156,0.269531,-0.0874023,0.804199
1525807157863157,0.319336,0.0283203,0.668945
1525807157885135,0.371582,0.0361328,0.649414
1525807157907159,0.338867,0.117188,0.65332
1525807157930148,0.310059,0.160156,0.641113
1525807157945146,0.321777,0.163574,0.690918
1525807157968142,0.356934,0.117188,0.683594
1525807157991129,0.375488,0.0996094,0.676758
1525807158005136,0.365234,0.102539,0.690918
1525807158036129,0.368652,0.151367,0.689453
1525807158051157,0.394531,0.13916,0.708984
1525807158065141,0.413086,0.118652,0.716797
1525807158089159,0.422363,0.117676,0.71875
1525807158111140,0.430664,0.120117,0.753418
1525807158125124,0.452637,0.115723,0.768066
1525807158149125,0.452637,0.141602,0.772461
1525807158178219,0.436523,0.158203,0.775879
1525807158185192,0.410645,0.15625,0.813477
1525807158208214,0.4375,0.0820313,0.898926
1525807158231214,0.533691,0.0893555,0.785156
1525807158252204,0.514648,0.174805,0.740723
1525807158268205,0.382324,0.219238,0.799316
1525807158291223,0.403809,0.220703,0.833008
1525807158312221,0.452637,0.144043,0.885254
1525807158328202,0.454102,0.0947266,0.87207
1525807158351224,0.445801,0.145508,0.862305
1525807158373189,0.453125,0.240723,0.800781
1525807158388240,0.438965,0.190918,0.820801
1525807158411196,0.416016,0.196777,0.770996
1525807158432223,0.34375,0.252441,0.73877
1525807158455195,0.29834,0.250488,0.864746
1525807158471201,0.470215,0.177734,0.720215
1525807158493201,0.480957,0.150879,0.791016
1525807158508195,0.396973,0.327148,0.727051
1525807158537207,0.443848,0.280762,0.80957
1525807158552256,0.48584,0.0078125,0.87793
1525807158569195,0.508301,0.0405273,0.82959
1525807158591222,0.476074,0.191406,0.759766
1525807158612258,0.44873,0.234375,0.749512
1525807158628218,0.443359,0.223145,0.786133
1525807158651224,0.461426,0.180176,0.783203
1525807158672258,0.459961,0.133789,0.814453
1525807158688189,0.450195,0.097168,0.774414
1525807158711203,0.394043,0.245605,0.758789
1525807158732195,0.285156,0.22998,0.812012
1525807158748190,0.436035,0.160645,0.735352
1525807158771195,0.522949,0.134766,0.79541
1525807158792197,0.434082,0.12793,0.819336
1525807158808224,0.493164,0.20752,0.782715
1525807158837312,0.528809,0.185059,0.809082
1525807158853251,0.483398,0.0991211,0.783691
1525807158876285,0.44873,0.148438,0.832031
1525807158890245,0.482422,0.115234,0.818359
1525807158913277,0.486816,0.131348,0.788574
1525807158936245,0.423828,0.243164,0.679199
1525807158950276,0.280762,0.293457,0.844727
1525807158973254,0.464355,0.122559,0.714355
1525807158996248,0.552246,0.123535,0.76709
1525807159017277,0.439941,0.288574,0.70166
1525807159033307,0.443359,0.198242,0.835449
1525807159056310,0.496094,-0.0341797,0.852051
1525807159077306,0.549316,0.0688477,0.804199
1525807159093306,0.481445,0.128418,0.762695
1525807159116346,0.449707,0.160156,0.792969
1525807159137338,0.491699,0.159668,0.830078
1525807159153306,0.503906,0.10791,0.798828
1525807159176322,0.482422,0.119141,0.771484
1525807159204338,0.351074,0.157227,0.786133
1525807159213442,0.287598,0.283203,0.766113
1525807159236416,0.495605,0.124512,0.751953
1525807159257493,0.495605,0.118652,0.788086
1525807159273438,0.452148,0.168457,0.811035
1525807159280427,0.473145,0.110352,0.840332
1525807159301441,0.49707,0.109375,0.789551
1525807159324426,0.490234,0.0947266,0.802734
1525807159340438,0.460449,0.0805664,0.815918
1525807159369469,0.463867,0.177246,0.823242
1525807159384438,0.467773,0.154297,0.789551
1525807159400449,0.474121,0.106445,0.802246
1525807159421459,0.428223,0.218262,0.749023
1525807159444468,0.242188,0.283203,0.822266
1525807159460438,0.365723,0.211914,0.712891
1525807159481442,0.570801,0.0307617,0.814941
1525807159504438,0.447266,0.136719,0.777832
1525807159520436,0.433105,0.22998,0.819824
1525807159541443,0.476074,0.164551,0.797363
1525807159564439,0.52002,0.101563,0.800293
1525807159580438,0.449707,0.0639648,0.821777
1525807159601460,0.445801,0.157227,0.812012
1525807159624470,0.469727,0.214844,0.80957
1525807159640461,0.462402,0.103516,0.819336
1525807159661459,0.448242,0.0634766,0.797363
1525807159684427,0.383789,0.251953,0.692383
1525807159699468,0.240723,0.305176,0.797852
1525807159721535,0.450195,0.117676,0.745117
1525807159743530,0.541992,0.059082,0.803223
1525807159762500,0.428711,0.297852,0.734863
1525807159781513,0.430664,0.242188,0.852051
1525807159804499,0.468262,-0.00830078,0.876465
1525807159821496,0.547363,0.0175781,0.804199
1525807159844497,0.464355,0.123047,0.777832
1525807159863528,0.398438,0.179199,0.790527
1525807159881496,0.466797,0.210938,0.814453
1525807159901512,0.498535,0.0737305,0.824219
1525807159923581,0.424316,0.180176,0.763672
1525807159941554,0.26709,0.184082,0.845215
1525807159961549,0.343262,0.243652,0.749512
1525807159983566,0.523438,0.0761719,0.800293
1525807160001550,0.440918,0.168457,0.815918
1525807160021578,0.437012,0.206543,0.83252
1525807160043565,0.481934,0.134766,0.79834
1525807160061549,0.498047,0.0405273,0.816406
1525807160084565,0.448242,0.0307617,0.821289
1525807160103617,0.449707,0.175293,0.804688
1525807160121558,0.458496,0.171387,0.8125
1525807160141564,0.455078,0.0981445,0.820801
1525807160163563,0.443359,0.135254,0.777344
1525807160181550,0.30127,0.169434,0.774414
1525807160201581,0.311523,0.279785,0.717285
1525807160223586,0.524414,0.114258,0.772461
1525807160241559,0.48877,0.105469,0.80957
1525807160261663,0.445313,0.128906,0.842285
1525807160283644,0.489746,0.133301,0.791992
1525807160301627,0.513184,0.0722656,0.816895
1525807160321695,0.450195,0.043457,0.827148
1525807160339659,0.455078,0.147949,0.802246
1525807160361668,0.462891,0.161133,0.790527
1525807160381701,0.447754,0.0786133,0.834473
1525807160403685,0.45752,0.0683594,0.806641
1525807160421679,0.375,0.248535,0.706055
1525807160441735,0.256348,0.29541,0.755859
1525807160463735,0.450195,0.0927734,0.753906
1525807160481668,0.553711,0.00634766,0.853516
1525807160501683,0.448242,0.09375,0.831055
1525807160523735,0.481445,0.15918,0.808105
1525807160541670,0.515137,0.106934,0.796875
1525807160561701,0.455566,0.0585938,0.837402
1525807160579684,0.45752,0.151367,0.827148
1525807160601689,0.472656,0.124512,0.831055
1525807160621700,0.45752,0.0810547,0.812988
1525807160643701,0.420898,0.155273,0.779297
1525807160661674,0.308105,0.162598,0.777344
1525807160681700,0.319336,0.211914,0.753418
1525807160699710,0.498535,0.111328,0.771973
1525807160726734,0.48291,0.0981445,0.851563
1525807160741700,0.456055,0.130859,0.837891
1525807160763683,0.513672,0.147949,0.776855
1525807160781680,0.491699,0.074707,0.826172
1525807160801785,0.465332,0.09375,0.831055
1525807160819753,0.482422,0.174805,0.806641
1525807160841722,0.452148,0.102539,0.842773
1525807160861791,0.451172,0.102539,0.794434
1525807160883793,0.376465,0.243164,0.700684
1525807160901793,0.222168,0.262207,0.768555
1525807160922825,0.421875,0.10498,0.733887
1525807160943892,0.52002,0.0986328,0.787109
1525807160961827,0.407715,0.126953,0.826172
1525807160982824,0.431641,0.0698242,0.843262
1525807161003872,0.518555,0.0517578,0.807129
1525807161021824,0.475586,0.0869141,0.817383
1525807161042865,0.448242,0.120117,0.826172
1525807161059880,0.470215,0.12793,0.822266
1525807161081865,0.469238,0.0708008,0.836426
1525807161101880,0.44873,0.152344,0.764648
1525807161124898,0.291504,0.190918,0.790039
1525807161140865,0.364258,0.163086,0.725586
1525807161161866,0.553711,0.0678711,0.82666
1525807161185883,0.461426,0.0708008,0.842285
1525807161200869,0.453125,0.126465,0.830566
1525807161221864,0.489746,0.128906,0.795898
1525807161238881,0.48291,0.0483398,0.845703
1525807161260866,0.467285,0.059082,0.825195
1525807161281897,0.459473,0.116211,0.845703
1525807161297866,0.433105,0.164551,0.747559
1525807161320868,0.313477,0.246582,0.753418
1525807161343897,0.382813,0.161133,0.699707
1525807161357874,0.524902,0.078125,0.802246
1525807161380868,0.438965,0.0942383,0.808594
1525807161403880,0.446289,0.130371,0.832031
1525807161424914,0.499512,0.12207,0.782715
1525807161440868,0.507813,0.0712891,0.829102
1525807161463898,0.458496,0.0737305,0.82666
1525807161477876,0.453125,0.15332,0.802246
1525807161500865,0.435547,0.117188,0.788574
1525807161523933,0.383301,0.157715,0.740234
1525807161537903,0.302246,0.230957,0.797363
1525807161560865,0.473633,0.12207,0.737305
1525807161583896,0.498047,0.0957031,0.820801
1525807161604931,0.430664,0.106934,0.862305
1525807161621008,0.476074,0.0976563,0.82959
1525807161644036,0.478027,0.101563,0.814453
1525807161658001,0.446289,0.111816,0.830566
1525807161681015,0.455078,0.174316,0.820313
1525807161704004,0.446777,0.171387,0.783691
1525807161718022,0.454102,0.104492,0.806641
1525807161741060,0.4375,0.101074,0.779785
1525807161764042,0.356445,0.133301,0.813965
