timestamp,roll,pitch,yaw
1525807143303790,0.0512846,-0.392118,0.316067
1525807143326785,0.0517452,-0.392064,0.315738
1525807143341824,0.0521801,-0.392112,0.315398
1525807143365795,0.0525837,-0.392047,0.315319
1525807143386813,0.0525653,-0.392175,0.315327
1525807143401864,0.0525653,-0.392175,0.315327
1525807143425885,0.0522298,-0.392097,0.315129
1525807143456867,0.0522264,-0.391944,0.314626
1525807143461867,0.0527666,-0.391498,0.314138
1525807143477862,0.0539003,-0.390649,0.313544
1525807143495858,0.0545509,-0.38983,0.312784
1525807143515866,0.0549439,-0.388969,0.312072
1525807143540918,0.0552078,-0.388087,0.311384
1525807143591884,0.0555569,-0.38736,0.310816
1525807143592884,0.0562585,-0.386679,0.310293
1525807143599856,0.0568993,-0.386261,0.30992
1525807143612852,0.0570455,-0.386154,0.309889
1525807143635916,0.0573256,-0.385666,0.309453
1525807143666014,0.0575391,-0.385321,0.309292
1525807143687004,0.0576673,-0.385341,0.309269
1525807143704006,0.0567601,-0.385932,0.308941
1525807143725972,0.0540001,-0.386955,0.308091
1525807143749005,0.0507674,-0.387275,0.307567
1525807143770972,0.0517885,-0.387287,0.306878
1525807143785972,0.0541666,-0.386655,0.306797
1525807143807006,0.0540183,-0.386273,0.307199
1525807143824064,0.0538901,-0.386253,0.307222
1525807143846109,0.0540883,-0.387141,0.306809
1525807143867173,0.0529004,-0.387701,0.306664
1525807143884132,0.0525585,-0.388026,0.306849
1525807143906108,0.0525585,-0.388026,0.306849
1525807143927125,0.053484,-0.387826,0.307423
1525807143944144,0.0544458,-0.387275,0.308128
1525807143966130,0.0544246,-0.386947,0.309134
1525807143987208,0.0541661,-0.386355,0.310326
1525807144003304,0.0530824,-0.385661,0.312532
1525807144026271,0.0515711,-0.383812,0.315334
1525807144047249,0.0529239,-0.381799,0.315826
1525807144071300,0.0546346,-0.37979,0.315132
1525807144076323,0.0565027,-0.379789,0.31451
1525807144091290,0.0533708,-0.380428,0.314611
1525807144114399,0.0508297,-0.380796,0.315093
1525807144136363,0.0526295,-0.380233,0.315387
1525807144151486,0.0540845,-0.380057,0.315093
1525807144174421,0.0517627,-0.380166,0.314659
1525807144196489,0.050901,-0.380742,0.314063
1525807144211452,0.0502169,-0.381781,0.314208
1525807144234422,0.0495011,-0.382804,0.314469
1525807144256453,0.0505483,-0.383516,0.315036
1525807144271526,0.0516139,-0.384103,0.315596
1525807144293601,0.0512695,-0.384947,0.316039
1525807144316630,0.0509615,-0.385537,0.316466
1525807144331574,0.050564,-0.385691,0.317821
1525807144354568,0.0516485,-0.385664,0.318742
1525807144385595,0.0524809,-0.384979,0.319596
1525807144391678,0.0520544,-0.383466,0.321044
1525807144414638,0.050856,-0.381997,0.320645
1525807144436669,0.0527536,-0.381377,0.319773
1525807144451668,0.0520744,-0.382046,0.320162
1525807144473702,0.0492868,-0.38331,0.319801
1525807144496702,0.0478891,-0.383711,0.31958
1525807144511657,0.0458891,-0.383751,0.319457
1525807144533642,0.0470663,-0.38351,0.31871
1525807144556669,0.0493576,-0.383745,0.318401
1525807144572702,0.0494856,-0.383766,0.318378
1525807144593668,0.0487302,-0.383784,0.31841
1525807144616703,0.0476661,-0.384391,0.318871
1525807144632650,0.0474608,-0.385008,0.319412
1525807144653650,0.0479386,-0.385596,0.319693
1525807144676670,0.0485148,-0.386029,0.320986
1525807144694733,0.0497561,-0.38617,0.322252
1525807144713775,0.050516,-0.385541,0.324138
1525807144736724,0.0508971,-0.385031,0.325193
1525807144754750,0.0497963,-0.384693,0.324649
1525807144776724,0.0485628,-0.385594,0.324377
1525807144796827,0.0449654,-0.386884,0.324329
1525807144814761,0.0411333,-0.387518,0.324693
1525807144833764,0.0430468,-0.387173,0.324185
1525807144856774,0.048269,-0.38651,0.3238
1525807144874777,0.0503778,-0.385983,0.323772
1525807144893829,0.0494338,-0.385814,0.323574
1525807144916779,0.0467534,-0.38603,0.324216
1525807144934761,0.0452095,-0.386718,0.325163
1525807144953762,0.0449173,-0.386473,0.326224
1525807144983793,0.0445313,-0.38583,0.327416
1525807144994789,0.0446569,-0.383776,0.328513
1525807145013776,0.0449242,-0.380735,0.329693
1525807145036830,0.0433774,-0.377911,0.328947
1525807145054794,0.0390137,-0.374279,0.326451
1525807145073762,0.0330037,-0.371299,0.324754
1525807145096793,0.0256203,-0.36874,0.3233
1525807145114762,0.0225117,-0.366165,0.321943
1525807145135793,0.0265937,-0.364037,0.321402
1525807145156850,0.0310894,-0.363077,0.322469
1525807145174830,0.0329032,-0.363206,0.324157
1525807145193846,0.0324008,-0.363996,0.326895
1525807145217852,0.0306648,-0.365496,0.330257
1525807145234826,0.0281393,-0.367749,0.333783
1525807145255814,0.0264112,-0.369901,0.337796
1525807145276938,0.0268622,-0.371569,0.342042
1525807145294910,0.027521,-0.371971,0.345581
1525807145315903,0.0298156,-0.372469,0.347679
1525807145336888,0.0295504,-0.372942,0.34799
1525807145354932,0.0284589,-0.37469,0.348868
1525807145375937,0.0248644,-0.376946,0.349071
1525807145396904,0.019893,-0.378757,0.350301
1525807145414900,0.0216026,-0.379365,0.351381
1525807145435903,0.0264606,-0.379165,0.352606
1525807145456888,0.0279166,-0.379765,0.354363
1525807145474911,0.0262339,-0.380533,0.355829
1525807145495903,0.0236099,-0.380808,0.358121
1525807145516941,0.0224513,-0.381324,0.360369
1525807145534901,0.0233626,-0.381356,0.362852
1525807145555959,0.0242562,-0.381912,0.365609
1525807145583961,0.0258269,-0.382096,0.368479
1525807145594965,0.0280858,-0.382789,0.371229
1525807145616947,0.0288325,-0.382099,0.372575
1525807145636945,0.0276023,-0.380511,0.373282
1525807145654964,0.0237243,-0.379794,0.373752
1525807145676946,0.0220777,-0.379352,0.373556
1525807145699971,0.0224758,-0.378453,0.374343
1525807145714094,0.0235807,-0.377448,0.375493
1525807145737028,0.0237746,-0.376279,0.376936
1525807145757034,0.0234458,-0.375164,0.378501
1525807145774060,0.0220821,-0.37422,0.380007
1525807145797028,0.0206114,-0.373462,0.381128
1525807145816040,0.0198291,-0.372235,0.382507
1525807145834061,0.0201362,-0.371814,0.382709
1525807145864057,0.0199081,-0.372512,0.382509
1525807145901094,0.0166483,-0.373637,0.382506
1525807145903060,0.0136205,-0.374572,0.382236
1525807145916029,0.014681,-0.37512,0.381419
1525807145937031,0.0167242,-0.375093,0.380642
1525807145954066,0.0186463,-0.374943,0.380035
1525807145976032,0.018692,-0.375023,0.379006
1525807145997059,0.0175053,-0.37578,0.37849
1525807146014030,0.0166525,-0.376531,0.378936
1525807146036033,0.0189083,-0.377255,0.37967
1525807146057077,0.0201037,-0.378521,0.380111
1525807146074061,0.0176005,-0.379377,0.379087
1525807146096029,0.0156294,-0.380265,0.379233
1525807146117094,0.0129532,-0.382046,0.379552
1525807146134094,0.0124989,-0.383597,0.379674
1525807146156039,0.0165022,-0.384103,0.37942
1525807146179077,0.020884,-0.383929,0.379204
1525807146194061,0.0218983,-0.383764,0.379394
1525807146216033,0.0223006,-0.383197,0.379174
1525807146237066,0.0241927,-0.382153,0.378905
1525807146254028,0.0259307,-0.379814,0.378157
1525807146276036,0.0285985,-0.378004,0.377227
1525807146297061,0.0288627,-0.376801,0.374996
1525807146314039,0.026844,-0.375154,0.372554
1525807146336036,0.0243186,-0.373571,0.370711
1525807146357155,0.024424,-0.372358,0.368642
1525807146373274,0.0274074,-0.371201,0.367291
1525807146396224,0.0300651,-0.370133,0.36627
1525807146417222,0.0283901,-0.36955,0.365696
1525807146440205,0.0252477,-0.369065,0.365372
1525807146456206,0.0226541,-0.369356,0.365492
1525807146477272,0.0212667,-0.369487,0.365993
1525807146493220,0.0231847,-0.368871,0.36652
