timestamp,x,y,z
1525807143303790,0.350586,0.0454102,0.856445
1525807143326785,0.350586,0.0405273,0.851563
1525807143341824,0.350098,0.034668,0.847168
1525807143365795,0.354004,0.0395508,0.854004
1525807143386813,0.354004,0.0405273,0.836914
1525807143401864,0.35791,0.0556641,0.84082
1525807143425885,0.357422,0.0483398,0.847168
1525807143456867,0.360352,0.0454102,0.840332
1525807143461867,0.35498,0.0400391,0.846191
1525807143477862,0.350098,0.0537109,0.849609
1525807143495858,0.353027,0.0537109,0.849609
1525807143515866,0.354492,0.0522461,0.851074
1525807143540918,0.345703,0.0488281,0.849609
1525807143591884,0.349121,0.0458984,0.850098
1525807143592884,0.344238,0.0517578,0.848633
1525807143599856,0.343262,0.050293,0.850098
1525807143612852,0.339844,0.0556641,0.856445
1525807143635916,0.352051,0.0556641,0.862305
1525807143666014,0.348145,0.0488281,0.850098
1525807143687004,0.347168,0.0668945,0.84082
1525807143704006,0.345703,0.081543,0.844238
1525807143725972,0.351074,0.0566406,0.849609
1525807143749005,0.353027,-0.0078125,0.87793
1525807143770972,0.350586,0.03125,0.890137
1525807143785972,0.351563,0.0693359,0.852051
1525807143807006,0.345215,0.059082,0.836426
1525807143824064,0.340332,0.0385742,0.843262
1525807143846109,0.348145,0.059082,0.836426
1525807143867173,0.34082,0.0351563,0.858887
1525807143884132,0.341309,0.0371094,0.855469
1525807143906108,0.350098,0.0307617,0.859375
1525807143927125,0.344727,0.0351563,0.845215
1525807143944144,0.345703,0.0517578,0.841797
1525807143966130,0.344727,0.0527344,0.841309
1525807143987208,0.335938,0.0551758,0.861816
1525807144003304,0.36084,0.0673828,0.845703
1525807144026271,0.396484,0.050293,0.82959
1525807144047249,0.354004,0.0522461,0.794434
1525807144071300,0.302734,0.027832,0.852539
1525807144076323,0.333496,0.097168,0.837402
1525807144091290,0.336914,0.0415039,0.873047
1525807144114399,0.347168,-0.0078125,0.875488
1525807144136363,0.343262,0.0375977,0.871582
1525807144151486,0.34375,0.0825195,0.850586
1525807144174421,0.334473,0.034668,0.858398
1525807144196489,0.328125,0.0244141,0.869141
1525807144211452,0.341309,0.0361328,0.87207
1525807144234422,0.342285,0.0195313,0.875977
1525807144256453,0.341309,0.0297852,0.858398
1525807144271526,0.342285,0.0595703,0.855957
1525807144293601,0.341797,0.0444336,0.849609
1525807144316630,0.341309,0.0439453,0.868164
1525807144331574,0.356445,0.0297852,0.852539
1525807144354568,0.347656,0.0488281,0.845703
1525807144385595,0.348145,0.0605469,0.858398
1525807144391678,0.385742,0.0556641,0.786133
1525807144414638,0.327148,0.0209961,0.825195
1525807144436669,0.31543,0.074707,0.816406
1525807144451668,0.34668,0.0761719,0.842773
1525807144473702,0.355469,0.0385742,0.84668
1525807144496702,0.359863,0.0385742,0.858398
1525807144511657,0.342773,0.00244141,0.865234
1525807144533642,0.330078,0.00927734,0.885254
1525807144556669,0.36084,0.0595703,0.882324
1525807144572702,0.345703,0.0537109,0.85791
1525807144593668,0.322754,0.0395508,0.86377
1525807144616703,0.343262,0.0336914,0.86377
1525807144632650,0.348145,0.0229492,0.862793
1525807144653650,0.336426,0.0385742,0.868652
1525807144676670,0.348633,0.0341797,0.871094
1525807144694733,0.34668,0.0473633,0.852051
1525807144713775,0.371582,0.0693359,0.850586
1525807144736724,0.367188,0.0776367,0.78418
1525807144754750,0.32373,0.0322266,0.829102
1525807144776724,0.336914,0.0708008,0.807129
1525807144796827,0.358887,0.0512695,0.851074
1525807144814761,0.373047,-0.0205078,0.854492
1525807144833764,0.330078,-0.00830078,0.864258
1525807144856774,0.341309,0.0551758,0.860352
1525807144874777,0.347656,0.0649414,0.848633
1525807144893829,0.346191,0.0512695,0.850098
1525807144916779,0.346191,0.0170898,0.849609
1525807144934761,0.36377,0.0170898,0.85791
1525807144953762,0.363281,0.0463867,0.883301
1525807144983793,0.361328,0.0458984,0.876953
1525807144994789,0.353516,0.0527344,0.887695
1525807145013776,0.400391,0.0888672,0.86084
1525807145036830,0.385742,0.115723,0.81543
1525807145054794,0.324707,0.0756836,0.834961
1525807145073762,0.313477,0.0708008,0.837891
1525807145096793,0.318359,0.00976563,0.855957
1525807145114762,0.288574,-0.0576172,0.86084
1525807145135793,0.275391,-0.012207,0.866211
1525807145156850,0.300781,0.0239258,0.868164
1525807145174830,0.30957,0.0180664,0.86377
1525807145193846,0.322754,0.0214844,0.877441
1525807145217852,0.340332,0.0234375,0.867188
1525807145234826,0.332031,-0.000976563,0.881836
1525807145255814,0.333984,-0.00732422,0.883301
1525807145276938,0.347168,0.0175781,0.881836
1525807145294910,0.380859,0.0239258,0.870117
1525807145315903,0.351563,0.0620117,0.819336
1525807145336888,0.319824,0.027832,0.836914
1525807145354932,0.329102,0.0537109,0.813965
1525807145375937,0.329102,0.027832,0.87207
1525807145396904,0.369629,-0.0541992,0.872559
1525807145414900,0.343262,-0.0336914,0.865234
1525807145435903,0.322754,0.0263672,0.861816
1525807145456888,0.340332,0.0493164,0.850098
1525807145474911,0.345703,0.043457,0.84668
1525807145495903,0.344727,0.0161133,0.853516
